experiment,replicate,inhibitor,unit,concentration,Haploid,Diploid,Tetraploid
1,1,Doxorubicin,nM,1250,0.04040404,0.031059346,0.023900054
1,1,Doxorubicin,nM,625,0.042359075,0.029395452,0.027159153
1,1,Doxorubicin,nM,312.5,0.030628869,0.029395452,0.027159153
1,1,Doxorubicin,nM,156.25,0.046269143,0.027731559,0.0320478
1,1,Doxorubicin,nM,78.125,0.071684588,0.07598447,0.118413905
1,1,Doxorubicin,nM,39.0625,0.124470512,0.152523572,0.199891363
1,1,Doxorubicin,nM,19.53125,0.368849788,0.382140876,0.348180337
1,1,Doxorubicin,nM,9.765625,0.746171391,0.829728231,0.700162955
1,1,Doxorubicin,nM,4.8828125,0.93580971,1.056017748,0.92178164
1,1,Doxorubicin,nM,2.44140625,0.984685565,1.039378813,0.946224878
1,1,Doxorubicin,nM,1.220703125,0.982730531,0.977814753,0.956002173
1,1,Doxorubicin,nM,0.610351563,0.943629847,1.039378813,0.928299837
1,2,Doxorubicin,nM,1250,0.020307692,0.020899855,0.024861878
1,2,Doxorubicin,nM,625,0.016615385,0.0191582,0.026519337
1,2,Doxorubicin,nM,312.5,0.016615385,0.020899855,0.028176796
1,2,Doxorubicin,nM,156.25,0.018461538,0.017416546,0.021546961
1,2,Doxorubicin,nM,78.125,0.072,0.081857765,0.125966851
1,2,Doxorubicin,nM,39.0625,0.121846154,0.142815675,0.235359116
1,2,Doxorubicin,nM,19.53125,0.208615385,0.247314949,0.281767956
1,2,Doxorubicin,nM,9.765625,0.579692308,0.728011611,0.880110497
1,2,Doxorubicin,nM,4.8828125,0.895384615,1.083309144,1.032596685
1,2,Doxorubicin,nM,2.44140625,1.000615385,1.109433962,1.016022099
1,2,Doxorubicin,nM,1.220703125,1.076307692,1.15820029,1.145303867
1,2,Doxorubicin,nM,0.610351563,1.050461538,1.194775036,0.977900552
2,3,Doxorubicin,nM,1250,0.010154346,0.005656109,0.00026434
2,3,Doxorubicin,nM,625,-0.002030869,0.004298643,-0.001321702
2,3,Doxorubicin,nM,312.5,0.00528026,0.009728507,-0.004493788
2,3,Doxorubicin,nM,156.25,0.000406174,0.004298643,0.008194555
2,3,Doxorubicin,nM,78.125,0.027213647,0.035520362,0.058947925
2,3,Doxorubicin,nM,39.0625,0.056458164,0.112895928,0.198519693
2,3,Doxorubicin,nM,19.53125,0.18074736,0.240497738,0.266719535
2,3,Doxorubicin,nM,9.765625,0.577985378,0.691176471,0.720327782
2,3,Doxorubicin,nM,4.8828125,0.899675061,1.026470588,1.004229448
2,3,Doxorubicin,nM,2.44140625,1.023964257,1.042760181,1.072429289
2,3,Doxorubicin,nM,1.220703125,1.033712429,1.02918552,1.026434047
2,3,Doxorubicin,nM,0.610351563,1.004467912,0.972171946,1.020089876
2,4,Doxorubicin,nM,1250,0.003109883,0.004346926,-0.003563792
2,4,Doxorubicin,nM,625,-0.003109883,0.006830884,-0.003563792
2,4,Doxorubicin,nM,312.5,0.003109883,0.006830884,-0.007840342
2,4,Doxorubicin,nM,156.25,0.003109883,0.006830884,0.004989309
2,4,Doxorubicin,nM,78.125,0.019695923,0.036638377,0.042052744
2,4,Doxorubicin,nM,39.0625,0.067380788,0.108673153,0.19743407
2,4,Doxorubicin,nM,19.53125,0.218728404,0.216725316,0.284390592
2,4,Doxorubicin,nM,9.765625,0.637525916,0.739598427,0.622238061
2,4,Doxorubicin,nM,4.8828125,0.884243262,0.996688056,0.961511048
2,4,Doxorubicin,nM,2.44140625,0.977539737,1.022769613,1.018531718
2,4,Doxorubicin,nM,1.220703125,0.861437457,0.990478162,0.980042766
2,4,Doxorubicin,nM,0.610351563,0.878023497,0.985510246,0.917320029
3,5,Doxorubicin,nM,1250,-0.021148825,-0.012147262,0.000995591
3,5,Doxorubicin,nM,625,-0.010704961,-0.010652215,0.005546864
3,5,Doxorubicin,nM,312.5,-0.014882507,-0.007662119,0.010098137
3,5,Doxorubicin,nM,156.25,-0.008616188,-0.001681929,0.018062864
3,5,Doxorubicin,nM,78.125,0.024804178,0.023733882,0.057886503
3,5,Doxorubicin,nM,39.0625,0.104177546,0.120911979,0.187597781
3,5,Doxorubicin,nM,19.53125,0.267101828,0.240515791,0.280898876
3,5,Doxorubicin,nM,9.765625,0.70156658,0.641188563,0.660930166
3,5,Doxorubicin,nM,4.8828125,0.847780679,0.862455616,0.889631631
3,5,Doxorubicin,nM,2.44140625,0.897911227,1.014950477,0.934006542
3,5,Doxorubicin,nM,1.220703125,0.950130548,0.961128761,0.96131418
3,5,Doxorubicin,nM,0.610351563,1.058746736,0.964118856,0.875977813
3,6,Doxorubicin,nM,1250,0.007757244,0.001784121,0.009259259
3,6,Doxorubicin,nM,625,0.00593201,0.006066012,0.014870932
3,6,Doxorubicin,nM,312.5,-0.006844627,0.006066012,0.018237935
3,6,Doxorubicin,nM,156.25,0.009582478,0.006066012,0.022727273
3,6,Doxorubicin,nM,78.125,0.016883413,0.030330062,0.044051627
3,6,Doxorubicin,nM,39.0625,0.069815195,0.103122212,0.164141414
3,6,Doxorubicin,nM,19.53125,0.201232033,0.233006244,0.238215488
3,6,Doxorubicin,nM,9.765625,0.553502167,0.63264942,0.550224467
3,6,Doxorubicin,nM,4.8828125,0.869267625,1.002319358,0.928451178
3,6,Doxorubicin,nM,2.44140625,0.971480721,1.197859054,1.103535354
3,6,Doxorubicin,nM,1.220703125,0.947752681,1.15646744,0.990179574
3,6,Doxorubicin,nM,0.610351563,0.918548939,0.905263158,1.050785634
4,7,Doxorubicin,nM,1250,-0.012078978,-0.004624277,-0.003773585
4,7,Doxorubicin,nM,625,-0.017653891,0.001981833,-0.000754717
4,7,Doxorubicin,nM,312.5,0.002787456,0.0059455,0.005283019
4,7,Doxorubicin,nM,156.25,-0.012078978,0.007266722,0.023396226
